Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.16155066465626045,8.880253661088148e-05,0.07097254521688233,0.23261201240975365
2.854382,0.17075349766112274,9.262027572095912e-05,0.07588310205869707,0.2467292199955408
2.8566830000000003,0.17913549313457985,9.627760562473096e-05,0.08091615756853582,0.2601479283087404
2.858985,0.1891326383687163,0.00010015950841733091,0.08587349539774555,0.2751062932748792
2.861286,0.19795350702288947,0.00010442639330506475,0.09162080495224427,0.2896787383684388
2.863588,0.20768250556639056,0.00010911034212919359,0.09642333147265196,0.3042149473811717
2.8658900000000003,0.21764106854288168,0.00011421135488971753,0.10119595674338447,0.3189512366411559
2.868191,0.22817209576718595,0.00011995400447546455,0.10596906429233756,0.3342611140639989
2.870493,0.23872193184209234,0.00012643453641021817,0.11098620462089763,0.3498345709994002
2.872795,0.2494178982178306,0.00013307547755127757,0.11518443653093467,0.36473541022631656
2.875096,0.260499204891802,0.000139106863708375,0.12001059468415012,0.3806489064396605
2.877398,0.2714445091075735,0.00014382289437376506,0.12423921012208293,0.39582754212403015
2.879699,0.2834431089570636,0.00014796145189645426,0.12859128878448087,0.4121823591934409
2.882001,0.2951619874386248,0.0001524529096730162,0.13274563337644624,0.4280600737247441
2.884303,0.30723726952518504,0.00015784265900489048,0.1366318312777764,0.4440269434619663
2.886604,0.3189358923214824,0.0001637457177969433,0.14066801770570286,0.4597676557449821
2.888906,0.3314413665807886,0.0001695846129064738,0.1448503344344612,0.4764612856281562
2.891208,0.34441416843582434,0.0001750385259208704,0.14868926907017568,0.4932784760319209
2.893509,0.3558504318801332,0.00017975455658626047,0.1524684012065399,0.5084985876432593
2.895811,0.3689172779881796,0.0001836364593788604,0.15626441308062392,0.5253653275281823
2.898112,0.3818910443996564,0.00018748628033019919,0.16077274988648566,0.5428512805664722
2.900414,0.3945764084352342,0.0001926514567732454,0.1645986630102448,0.5593677229022522
2.902716,0.407067896626144,0.0001992923979143048,0.16909880108635691,0.5763659901104152
2.905017,0.42029630593808026,0.00020432924699230638,0.17307229134560964,0.5935729265306822
2.907319,0.4325042145352966,0.00020410467410347832,0.1773423827105112,0.6100507019199113
2.909621,0.4457056162668811,0.0001995169708031329,0.18165395000238152,0.6275590832400657
2.911922,0.4588819395309962,0.00019772038769250814,0.18627851585939992,0.6453581757780886
2.9142240000000004,0.4720944336616539,0.0002056125206427527,0.1910000196387523,0.663300065821049
2.916525,0.4858919312738594,0.00022280838755873262,0.19613001307092506,0.6822447527323432
2.918827,0.4996460238462141,0.00024398240279109595,0.20106902432775325,0.7009590305767585
2.921129,0.5136991289153202,0.00026528474538850403,0.20585225971933827,0.719816673380047
2.92343,0.5299904872060784,0.0002902123360484227,0.21085010891907566,0.7411308084612025
2.925732,0.5446261843656298,0.00032450782435659907,0.21620098577626812,0.7611516779662545
2.928034,0.5610969501544391,0.00037333638675607936,0.22193382698414985,0.783404113525345
2.930335,0.5753439310682132,0.0004407724170870307,0.22638959546396975,0.8021742989492701
2.932637,0.5883442227818213,0.000530601572618269,0.2333401891787835,0.8222150135332231
2.9349380000000003,0.6007604755703225,0.0006430484262386231,0.238862757082498,0.8402662810790591
